,id,num
368,c2111103316450/,7
369,c2110343238336544/,13
370,c2111103831604/,101
371,c2111103317062/,22
372,c2111103319001/,4
373,c2112971848772645/,72
374,c2110343238598820/,18
375,c219976350519094/,51
376,c2110343239122977/,19
377,c2111268203754074/,45
378,c2110343238599466/,14
379,c2111103317684/,39
380,c2111103316429/,16
381,c2111103831696/,28
382,c2111103316839/,8
383,c2111103317158/,32
384,c2110343238599554/,81
385,c2111103316435/,12
386,c2111103318475/,14
387,c2110343238861602/,86
388,c2111103317321/,26
389,c2111103317660/,16
390,c2112970916326964/,63
391,c2110343239122980/,6
392,c2113691167716331/,155
393,c2111103318545/,3
394,c2110343238861562/,22
395,c2110343238599659/,42
396,c2111103316774/,3
397,c2111103317038/,19
398,c2113825475644632/,9
399,c2113349168624184/,145
400,c2111103318669/,20
401,c2111103316461/,11
402,c2111103317560/,19
403,c2111103318951/,16
404,c2110343238599501/,14
405,c2111103831496/,7
406,c2110110822526380/,10
407,c2111103831809/,191
408,c2111103318303/,2
409,c2113309739020877/,64
410,c2111103319070/,51
411,c2111103318878/,31
412,c2111103317513/,10
413,c2111103316814/,14
414,c2110343238599317/,36
415,c2110343238337469/,4
416,c2110343238599137/,29
417,c2110343238599650/,63
418,c2111103316582/,6
419,c2110343238599342/,44
420,c2110343238861235/,24
421,c2111160766655636/,52
422,c2113308735532131/,50
423,c2111103319385/,25
424,c2112970215091812/,36
425,c2110343238598941/,11
426,c2111103319412/,38
427,c2110343238861593/,25
428,c2111103316735/,41
429,c2110343238336527/,6
430,c2111103316698/,20
431,c2111792647467193/,31
432,c2110343238599340/,45
433,c2110790832189582/,1
434,c2110343239123308/,29
435,c2111103316863/,46
436,c219184096562740/,52
437,c2110343238599637/,51
438,c219099549879500/,22
439,c2111157419601004/,130
440,c2111103318115/,10
441,c2110045110104603/,7
442,c2111103316369/,6
443,c2111103317585/,42
444,c2111103317999/,26
445,c2111103318443/,13
446,c2111103317485/,17
447,c2111103319401/,9
448,c2111103831486/,29
449,c2111103317286/,8
450,c2110343238336956/,48
451,c2111103316685/,3
452,c2111103317345/,39
453,c2111103831708/,56
454,c2120026848137483/,26
455,c2110343239123362/,183
456,c2120039956852833/,142
457,c2110343238599653/,54
458,c2111103316928/,4
459,c2110343238860968/,22
460,c2110343238599633/,23
461,c2110180956532001/,4
462,c2111103316776/,12
463,c2111103319298/,7
464,c2110343238336937/,12
465,c2111103318935/,50
466,c2111103317324/,19
467,c2111103317134/,3
468,c2110343238337534/,46
469,c2111103318099/,23
470,c2111103317648/,100
471,c2110343238599323/,32
472,c2111103831623/,5
473,c2111103316985/,29
474,c2110133510828807/,45
475,c2111103319205/,9
476,c2110343238861408/,13
477,c2111103831612/,38
478,c2111103316850/,13
479,c2113332713844646/,170
480,c2111103831658/,29
481,c2111103831591/,21
482,c2111103318598/,19
483,c2110343238861082/,6
484,c2111103316601/,8
485,c2110343238861231/,21
486,c2111154344914487/,74
487,c219998877862930/,32
488,c2110343238599282/,7
489,c2110343238861407/,9
490,c219976591953250/,42
491,c2110434312680170/,77
492,c2111103317977/,15
493,c2110343238599442/,21
494,c2111267596366374/,9
495,c2111103831620/,50
496,c2111103317117/,23
497,c2111103831706/,158
498,c2110343238861513/,56
499,c2111103318703/,11
500,c2110343238599349/,15
501,c2111103317578/,23
502,c2111103316483/,21
503,c2111103316469/,13
504,c2110343238861704/,13
505,c2111792833328082/,29
506,c2110343238599237/,61
507,c2111103318374/,21
508,c2111103317947/,16
509,c2110343238599354/,61
510,c2111103316558/,11
511,c2110343238860986/,15
512,c2111103316981/,6
513,c2114965638180557/,51
514,c2111103316680/,9
515,c2110343238336993/,5
516,c2111103316635/,13
517,c2112879939513349/,16
518,c2110343238599235/,30
519,c2110343238336542/,25
520,c2110343238861180/,15
521,c2111103316545/,10
522,c2110343238860934/,15
